"","group","Description","pvalue","ratio"
"GO:00068204","C9","anion transport",0.564951779640905,"1/85"
"GO:00091424","C9","nucleoside triphosphate biosynthetic process",0.564951779640905,"1/85"
"GO:00453331","C9","cellular respiration",0.564951779640905,"1/85"
"GO:00507902","C9","regulation of catalytic activity",0.564951779640905,"1/85"
"GO:00452295","C9","external encapsulating structure organization",0.569984435003088,"3/85"
"GO:00715555","C9","cell wall organization",0.569984435003088,"3/85"
"GO:00069508","C9","response to stress",0.572759828821508,"8/85"
"GO:00199413","C9","modification-dependent protein catabolic process",0.579270419251569,"2/85"
"GO:00324461","C9","protein modification by small protein conjugation",0.580491219257061,"1/85"
"GO:00650092","C9","regulation of molecular function",0.580491219257061,"1/85"
"GO:00436323","C9","modification-dependent macromolecule catabolic process",0.584338821179439,"2/85"
"GO:00002713","C9","polysaccharide biosynthetic process",0.58805394383037,"1/85"
"GO:00093085","C9","amine metabolic process",0.58805394383037,"1/85"
"GO:00090568","C9","catabolic process",0.593306477266746,"8/85"
"GO:00091565","C9","ribonucleoside monophosphate biosynthetic process",0.595481906234786,"1/85"
"GO:00460344","C9","ATP metabolic process",0.595481906234786,"1/85"
"GO:00464862","C9","glycerolipid metabolic process",0.595481906234786,"1/85"
"GO:00100338","C9","response to organic substance",0.602563812551402,"3/85"
"GO:00067967","C9","phosphate-containing compound metabolic process",0.603952836386225,"5/85"
"GO:00159801","C9","energy derivation by oxidation of organic compounds",0.609942996348943,"1/85"
"GO:00346373","C9","cellular carbohydrate biosynthetic process",0.609942996348943,"1/85"
"GO:00067937","C9","phosphorus metabolic process",0.616256221347629,"5/85"
"GO:00091245","C9","nucleoside monophosphate biosynthetic process",0.616980747423097,"1/85"
"GO:00346554","C9","nucleobase-containing compound catabolic process",0.616980747423097,"1/85"
"GO:00091444","C9","purine nucleoside triphosphate metabolic process",0.623892984465356,"1/85"
"GO:00092054","C9","purine ribonucleoside triphosphate metabolic process",0.623892984465356,"1/85"
"GO:00064683","C9","protein phosphorylation",0.637349727074791,"1/85"
"GO:00300011","C9","metal ion transport",0.637349727074791,"1/85"
"GO:00516034","C9","proteolysis involved in cellular protein catabolic process",0.641700296347975,"2/85"
"GO:00091264","C9","purine nucleoside monophosphate metabolic process",0.64389854228589,"1/85"
"GO:00091674","C9","purine ribonucleoside monophosphate metabolic process",0.64389854228589,"1/85"
"GO:00097344","C9","auxin-activated signaling pathway",0.64389854228589,"1/85"
"GO:00517261","C9","regulation of cell cycle",0.64389854228589,"1/85"
"GO:00713654","C9","cellular response to auxin stimulus",0.64389854228589,"1/85"
"GO:00069527","C9","defense response",0.648371679477749,"3/85"
"GO:00091994","C9","ribonucleoside triphosphate metabolic process",0.650330464067807,"1/85"
"GO:00197256","C9","cellular homeostasis",0.650641727557143,"2/85"
"GO:00442574","C9","cellular protein catabolic process",0.650641727557143,"2/85"
"GO:19011357","C9","carbohydrate derivative metabolic process",0.656979330178658,"4/85"
"GO:00062602","C9","DNA replication",0.662851839775717,"1/85"
"GO:00091524","C9","purine ribonucleotide biosynthetic process",0.662851839775717,"1/85"
"GO:00322682","C9","regulation of cellular protein metabolic process",0.662851839775717,"1/85"
"GO:00061644","C9","purine nucleotide biosynthetic process",0.668945310670691,"1/85"
"GO:00091615","C9","ribonucleoside monophosphate metabolic process",0.674929923302123,"1/85"
"GO:00467004","C9","heterocycle catabolic process",0.680807599651691,"1/85"
"GO:00427377","C9","drug catabolic process",0.684667992373861,"2/85"
"GO:00512462","C9","regulation of protein metabolic process",0.686580228168628,"1/85"
"GO:00708877","C9","cellular response to chemical stimulus",0.688728121726561,"2/85"
"GO:00091235","C9","nucleoside monophosphate metabolic process",0.692249664347745,"1/85"
"GO:00091416","C9","nucleoside triphosphate metabolic process",0.692249664347745,"1/85"
"GO:00103934","C9","galacturonan metabolic process",0.692249664347745,"1/85"
"GO:00442704","C9","cellular nitrogen compound catabolic process",0.692249664347745,"1/85"
"GO:00454884","C9","pectin metabolic process",0.692249664347745,"1/85"
"GO:00092605","C9","ribonucleotide biosynthetic process",0.697817731297605,"1/85"
"GO:00463905","C9","ribose phosphate biosynthetic process",0.697817731297605,"1/85"
"GO:00485837","C9","regulation of response to stimulus",0.697817731297605,"1/85"
"GO:00301634","C9","protein catabolic process",0.700655322605356,"2/85"
"GO:00725225","C9","purine-containing compound biosynthetic process",0.708656891354096,"1/85"
"GO:00904075","C9","organophosphate biosynthetic process",0.719702620244274,"2/85"
"GO:00442488","C9","cellular catabolic process",0.725914464431652,"6/85"
"GO:00194395","C9","aromatic compound catabolic process",0.734102455220476,"1/85"
"GO:00068118","C9","ion transport",0.73420861994615,"2/85"
"GO:19013615","C9","organic cyclic compound catabolic process",0.748302110998221,"1/85"
"GO:00442654","C9","cellular macromolecule catabolic process",0.754785132311355,"2/85"
"GO:00065084","C9","proteolysis",0.761337085111368,"2/85"
"GO:00091504","C9","purine ribonucleotide metabolic process",0.782607334455215,"1/85"
"GO:00062597","C9","DNA metabolic process",0.786069653567628,"2/85"
"GO:00061634","C9","purine nucleotide metabolic process",0.786556549366801,"1/85"
"GO:00091655","C9","nucleotide biosynthetic process",0.80526375970256,"1/85"
"GO:00092595","C9","ribonucleotide metabolic process",0.80526375970256,"1/85"
"GO:00062816","C9","DNA repair",0.808805933985736,"1/85"
"GO:00355565","C9","intracellular signal transduction",0.808805933985736,"1/85"
"GO:19012935","C9","nucleoside phosphate biosynthetic process",0.808805933985736,"1/85"
"GO:00068124","C9","cation transport",0.812284421916218,"1/85"
"GO:00070492","C9","cell cycle",0.812284421916218,"1/85"
"GO:00069746","C9","cellular response to DNA damage stimulus",0.815700355150455,"1/85"
"GO:00454546","C9","cell redox homeostasis",0.815700355150455,"1/85"
"GO:00169997","C9","antibiotic metabolic process",0.825583847243222,"1/85"
"GO:00725215","C9","purine-containing compound metabolic process",0.825583847243222,"1/85"
"GO:00160527","C9","carbohydrate catabolic process",0.831879937049757,"1/85"
"GO:00196935","C9","ribose phosphate metabolic process",0.837951328247232,"1/85"
"GO:00442625","C9","cellular carbohydrate metabolic process",0.862698114404773,"1/85"
"GO:00071658","C9","signal transduction",0.884821758560706,"3/85"
"GO:00230528","C9","signaling",0.887756855325055,"3/85"
"GO:00067536","C9","nucleoside phosphate metabolic process",0.908555125251312,"1/85"
"GO:00091176","C9","nucleotide metabolic process",0.908555125251312,"1/85"
"GO:00485185","C9","positive regulation of biological process",0.919681173953527,"1/85"
"GO:00335547","C9","cellular response to stress",0.924029598200377,"1/85"
"GO:00071548","C9","cell communication",0.927508862579454,"3/85"
"GO:00059766","C9","polysaccharide metabolic process",0.936911024046176,"1/85"
"GO:00090577","C9","macromolecule catabolic process",0.937621774586138,"2/85"
"GO:00550866","C9","nucleobase-containing small molecule metabolic process",0.947629615499407,"1/85"
"GO:00517168","C9","cellular response to stimulus",0.954805093156915,"4/85"
"GO:00550858","C9","transmembrane transport",0.957349298468606,"1/85"
"GO:00063557","C9","regulation of transcription, DNA-templated",0.986676280060825,"3/85"
"GO:19035067","C9","regulation of nucleic acid-templated transcription",0.986676280060825,"3/85"
"GO:20011417","C9","regulation of RNA biosynthetic process",0.986676280060825,"3/85"
"GO:00512527","C9","regulation of RNA metabolic process",0.988033002537332,"3/85"
"GO:00192197","C9","regulation of nucleobase-containing compound metabolic process",0.990363543554193,"3/85"
"GO:00105567","C9","regulation of macromolecule biosynthetic process",0.991086008438138,"3/85"
"GO:20001127","C9","regulation of cellular macromolecule biosynthetic process",0.991086008438138,"3/85"
"GO:00098897","C9","regulation of biosynthetic process",0.991756758357463,"3/85"
"GO:00313267","C9","regulation of cellular biosynthetic process",0.991756758357463,"3/85"
"GO:00330365","C9","macromolecule localization",0.994140775393726,"1/85"
"GO:00717027","C9","organic substance transport",0.997845578651698,"1/85"
"GO:00224022","C10","cell cycle process",1.14996804564794e-11,"16/127"
"GO:19030472","C10","mitotic cell cycle process",2.27218396890935e-10,"12/127"
"GO:00002782","C10","mitotic cell cycle",3.74591003912537e-10,"13/127"
"GO:00070493","C10","cell cycle",1.44067746968972e-09,"16/127"
"GO:00070174","C10","microtubule-based process",1.51779324425947e-08,"14/127"
"GO:00062603","C10","DNA replication",3.61875145265387e-08,"12/127"
"GO:00513382","C10","regulation of transferase activity",8.57048671425078e-08,"9/127"
"GO:00019322","C10","regulation of protein phosphorylation",1.05343995561383e-07,"8/127"
"GO:00423252","C10","regulation of phosphorylation",1.05343995561383e-07,"8/127"
"GO:00435492","C10","regulation of kinase activity",1.05343995561383e-07,"8/127"
"GO:00458592","C10","regulation of protein kinase activity",1.05343995561383e-07,"8/127"
"GO:00313993","C10","regulation of protein modification process",6.97539062412476e-07,"9/127"
"GO:00069282","C10","movement of cell or subcellular component",1.25890835059378e-06,"8/127"
"GO:00070182","C10","microtubule-based movement",1.25890835059378e-06,"8/127"
"GO:0051493","C10","regulation of cytoskeleton organization",1.31280030401309e-06,"6/127"
"GO:00512763","C10","chromosome organization",1.4873775312012e-06,"12/127"
"GO:00192203","C10","regulation of phosphate metabolic process",1.62489030557513e-06,"8/127"
"GO:00511743","C10","regulation of phosphorus metabolic process",1.62489030557513e-06,"8/127"
"GO:00517262","C10","regulation of cell cycle",1.90071728033028e-06,"10/127"
"GO:0010564","C10","regulation of cell cycle process",1.92722147736231e-06,"7/127"
"GO:00507903","C10","regulation of catalytic activity",2.45482222143983e-06,"9/127"
"GO:00511282","C10","regulation of cellular component organization",2.96854701415686e-06,"9/127"
"GO:00330431","C10","regulation of organelle organization",3.31096038895397e-06,"8/127"
"GO:00073461","C10","regulation of mitotic cell cycle",3.50341648424074e-06,"7/127"
"GO:00650093","C10","regulation of molecular function",3.57216051785897e-06,"9/127"
"GO:00062598","C10","DNA metabolic process",4.01159157919825e-06,"16/127"
"GO:00069966","C10","organelle organization",5.03575609839222e-06,"21/127"
"GO:00711032","C10","DNA conformation change",6.03177520156611e-06,"7/127"
"GO:00063342","C10","nucleosome assembly",6.51780682879899e-06,"6/127"
"GO:0031401","C10","positive regulation of protein modification process",6.51780682879899e-06,"6/127"
"GO:00314972","C10","chromatin assembly",6.51780682879899e-06,"6/127"
"GO:0051347","C10","positive regulation of transferase activity",6.51780682879899e-06,"6/127"
"GO:0001934","C10","positive regulation of protein phosphorylation",8.49322047700141e-06,"5/127"
"GO:0007051","C10","spindle organization",8.49322047700141e-06,"5/127"
"GO:0010562","C10","positive regulation of phosphorus metabolic process",8.49322047700141e-06,"5/127"
"GO:0032147","C10","activation of protein kinase activity",8.49322047700141e-06,"5/127"
"GO:0033674","C10","positive regulation of kinase activity",8.49322047700141e-06,"5/127"
"GO:0042327","C10","positive regulation of phosphorylation",8.49322047700141e-06,"5/127"
"GO:0045860","C10","positive regulation of protein kinase activity",8.49322047700141e-06,"5/127"
"GO:0045937","C10","positive regulation of phosphate metabolic process",8.49322047700141e-06,"5/127"
"GO:00063232","C10","DNA packaging",9.10892540781149e-06,"6/127"
"GO:00347282","C10","nucleosome organization",9.10892540781149e-06,"6/127"
"GO:00063332","C10","chromatin assembly or disassembly",2.22119200376479e-05,"6/127"
"GO:00430851","C10","positive regulation of catalytic activity",2.22119200376479e-05,"6/127"
"GO:00322683","C10","regulation of cellular protein metabolic process",2.40285155919723e-05,"9/127"
"GO:0006261","C10","DNA-dependent DNA replication",3.72963380764682e-05,"6/127"
"GO:00440931","C10","positive regulation of molecular function",3.72963380764682e-05,"6/127"
"GO:00512463","C10","regulation of protein metabolic process",4.09096193439261e-05,"9/127"
"GO:00650042","C10","protein-DNA complex assembly",4.74342145541365e-05,"6/127"
"GO:0044770","C10","cell cycle phase transition",5.95924206393794e-05,"5/127"
"GO:0044772","C10","mitotic cell cycle phase transition",5.95924206393794e-05,"5/127"
"GO:00718242","C10","protein-DNA complex subunit organization",5.96652567381974e-05,"6/127"
"GO:00064684","C10","protein phosphorylation",9.93135752688505e-05,"8/127"
"GO:0032270","C10","positive regulation of cellular protein metabolic process",0.000112075903497361,"6/127"
"GO:0051247","C10","positive regulation of protein metabolic process",0.000112075903497361,"6/127"
"GO:00063252","C10","chromatin organization",0.000312345393540362,"7/127"
"GO:00067302","C10","one-carbon metabolic process",0.000523858275397129,"4/127"
"GO:00199531","C10","sexual reproduction",0.000523858275397129,"4/127"
"GO:00447031","C10","multi-organism reproductive process",0.000523858275397129,"4/127"
"GO:00002802","C10","nuclear division",0.000627492757239284,"5/127"
"GO:0000226","C10","microtubule cytoskeleton organization",0.000747753667533792,"5/127"
"GO:00988131","C10","nuclear chromosome segregation",0.00110362740724737,"4/127"
"GO:00070592","C10","chromosome segregation",0.00167665307863632,"4/127"
"GO:00163106","C10","phosphorylation",0.00253996693084889,"8/127"
"GO:00063022","C10","double-strand break repair",0.00261175016139224,"3/127"
"GO:00000792","C10","regulation of cyclin-dependent protein serine/threonine kinase activity",0.00341494170289596,"3/127"
"GO:00719002","C10","regulation of protein serine/threonine kinase activity",0.00341494170289596,"3/127"
"GO:01400131","C10","meiotic nuclear division",0.00341494170289596,"3/127"
"GO:19030461","C10","meiotic cell cycle process",0.00341494170289596,"3/127"
"GO:19040292","C10","regulation of cyclin-dependent protein kinase activity",0.00341494170289596,"3/127"
"GO:00059759","C10","carbohydrate metabolic process",0.0034508971958732,"22/127"
"GO:00482852","C10","organelle fission",0.00346562009360816,"5/127"
"GO:00070102","C10","cytoskeleton organization",0.00533912609010959,"6/127"
"GO:00513211","C10","meiotic cell cycle",0.00543399828300652,"3/127"
"GO:00008191","C10","sister chromatid segregation",0.00666153328490888,"3/127"
"GO:00302434","C10","cellulose metabolic process",0.0108420337382266,"4/127"
"GO:00302442","C10","cellulose biosynthetic process",0.0112707166344558,"3/127"
"GO:00512734","C10","beta-glucan metabolic process",0.0120392682894489,"4/127"
"GO:00512742","C10","beta-glucan biosynthetic process",0.0131272281986917,"3/127"
"GO:00346224","C10","cellular protein-containing complex assembly",0.0177721994638507,"8/127"
"GO:20012511","C10","negative regulation of chromosome organization",0.0275942198683238,"2/127"
"GO:00650035","C10","protein-containing complex assembly",0.031277472888972,"8/127"
"GO:00098262","C10","unidimensional cell growth",0.0331458798031975,"2/127"
"GO:00485224","C10","positive regulation of cellular process",0.0343568010539906,"7/127"
"GO:00096644","C10","plant-type cell wall organization",0.0373236428320087,"3/127"
"GO:00466532","C10","tetrahydrofolate metabolic process",0.0390920674232578,"2/127"
"GO:0051783","C10","regulation of nuclear division",0.0390920674232578,"2/127"
"GO:00060735","C10","cellular glucan metabolic process",0.0420914331124731,"5/127"
"GO:00440425","C10","glucan metabolic process",0.0420914331124731,"5/127"
"GO:00092503","C10","glucan biosynthetic process",0.04452232870659,"3/127"
"GO:00000701","C10","mitotic sister chromatid segregation",0.0454081495335272,"2/127"
"GO:00065444","C10","glycine metabolic process",0.0454081495335272,"2/127"
"GO:00605602","C10","developmental growth involved in morphogenesis",0.0454081495335272,"2/127"
"GO:00059767","C10","polysaccharide metabolic process",0.0474421879245498,"8/127"
"GO:00226075","C10","cellular component assembly",0.0484120888208602,"9/127"
"GO:00160492","C10","cell growth",0.0520705080752806,"2/127"
"GO:00330441","C10","regulation of chromosome organization",0.0520705080752806,"2/127"
"GO:00439335","C10","protein-containing complex subunit organization",0.0522061218462798,"8/127"
"GO:00442645","C10","cellular polysaccharide metabolic process",0.0535814986748424,"5/127"
"GO:01400141","C10","mitotic nuclear division",0.0590565041968762,"2/127"
"GO:00427378","C10","drug catabolic process",0.0595022155714977,"7/127"
"GO:00096533","C10","anatomical structure morphogenesis",0.0652671999765431,"3/127"
"GO:00336923","C10","cellular polysaccharide biosynthetic process",0.0652671999765431,"3/127"
"GO:00067602","C10","folic acid-containing compound metabolic process",0.0663444434954087,"2/127"
"GO:00511733","C10","positive regulation of nitrogen compound metabolic process",0.0673784300431273,"6/127"
"GO:00715547","C10","cell wall organization or biogenesis",0.071157092601538,"9/127"
"GO:00015054","C10","regulation of neurotransmitter levels",0.0739135423930293,"2/127"
"GO:00106391","C10","negative regulation of organelle organization",0.0739135423930293,"2/127"
"GO:00421334","C10","neurotransmitter metabolic process",0.0739135423930293,"2/127"
"GO:00425582","C10","pteridine-containing compound metabolic process",0.0739135423930293,"2/127"
"GO:00511291","C10","negative regulation of cellular component organization",0.0739135423930293,"2/127"
"GO:00485186","C10","positive regulation of biological process",0.0743363824960978,"7/127"
"GO:00106043","C10","positive regulation of macromolecule metabolic process",0.0748401085313849,"6/127"
"GO:00313254","C10","positive regulation of cellular metabolic process",0.0748401085313849,"6/127"
"GO:00716694","C10","plant-type cell wall organization or biogenesis",0.0794885243021507,"3/127"
"GO:00457861","C10","negative regulation of cell cycle",0.0817438956128509,"2/127"
"GO:00098934","C10","positive regulation of metabolic process",0.0827569210461961,"6/127"
"GO:00067968","C10","phosphate-containing compound metabolic process",0.0874750953110473,"12/127"
"GO:00485893","C10","developmental growth",0.0898164447203991,"2/127"
"GO:00067938","C10","phosphorus metabolic process",0.0944943680805179,"12/127"
"GO:00009022","C10","cell morphogenesis",0.0981129476975812,"2/127"
"GO:00329892","C10","cellular component morphogenesis",0.0981129476975812,"2/127"
"GO:00400073","C10","growth",0.106615949517133,"2/127"
"GO:00440364","C10","cell wall macromolecule metabolic process",0.111501343189953,"3/127"
"GO:00067671","C10","water-soluble vitamin metabolic process",0.133200611585649,"2/127"
"GO:00423641","C10","water-soluble vitamin biosynthetic process",0.133200611585649,"2/127"
"GO:19011364","C10","carbohydrate derivative catabolic process",0.133200611585649,"2/127"
"GO:00067325","C10","coenzyme metabolic process",0.135281796117265,"5/127"
"GO:00002725","C10","polysaccharide catabolic process",0.138893831528979,"4/127"
"GO:00517045","C10","multi-organism process",0.139328947308486,"5/127"
"GO:00002714","C10","polysaccharide biosynthetic process",0.14132882228872,"3/127"
"GO:00160422","C10","lipid catabolic process",0.14132882228872,"3/127"
"GO:00452296","C10","external encapsulating structure organization",0.150020282928094,"7/127"
"GO:00715556","C10","cell wall organization",0.150020282928094,"7/127"
"GO:00067661","C10","vitamin metabolic process",0.151669097026998,"2/127"
"GO:00091101","C10","vitamin biosynthetic process",0.151669097026998,"2/127"
"GO:00171449","C10","drug metabolic process",0.153887724169708,"11/127"
"GO:00346374","C10","cellular carbohydrate biosynthetic process",0.160377337278853,"3/127"
"GO:00442626","C10","cellular carbohydrate metabolic process",0.164697343505652,"5/127"
"GO:00440857","C10","cellular component biogenesis",0.173254972447149,"10/127"
"GO:00090694","C10","serine family amino acid metabolic process",0.199671749904894,"2/127"
"GO:00427436","C10","hydrogen peroxide metabolic process",0.20056184511598,"3/127"
"GO:00427446","C10","hydrogen peroxide catabolic process",0.20056184511598,"3/127"
"GO:00091163","C10","nucleoside metabolic process",0.209492597342749,"2/127"
"GO:00104102","C10","hemicellulose metabolic process",0.209492597342749,"2/127"
"GO:00103832","C10","cell wall polysaccharide metabolic process",0.219362394668284,"2/127"
"GO:00170016","C10","antibiotic catabolic process",0.221486712891277,"3/127"
"GO:00062817","C10","DNA repair",0.223917477154567,"4/127"
"GO:19016573","C10","glycosyl compound metabolic process",0.229271642491851,"2/127"
"GO:00069747","C10","cellular response to DNA damage stimulus",0.235408123896496,"4/127"
"GO:00511869","C10","cofactor metabolic process",0.235610221970771,"8/127"
"GO:00022291","C10","defense response to oomycetes",0.237015169633837,"1/127"
"GO:00022391","C10","response to oomycetes",0.237015169633837,"1/127"
"GO:00062131","C10","pyrimidine nucleoside metabolic process",0.237015169633837,"1/127"
"GO:0006275","C10","regulation of DNA replication",0.237015169633837,"1/127"
"GO:00063421","C10","chromatin silencing",0.237015169633837,"1/127"
"GO:0010016","C10","shoot system morphogenesis",0.237015169633837,"1/127"
"GO:00101671","C10","response to nitrate",0.237015169633837,"1/127"
"GO:00421363","C10","neurotransmitter biosynthetic process",0.237015169633837,"1/127"
"GO:0043254","C10","regulation of protein-containing complex assembly",0.237015169633837,"1/127"
"GO:00458141","C10","negative regulation of gene expression, epigenetic",0.237015169633837,"1/127"
"GO:00550761","C10","transition metal ion homeostasis",0.237015169633837,"1/127"
"GO:0071241","C10","cellular response to inorganic substance",0.237015169633837,"1/127"
"GO:00065753","C10","cellular modified amino acid metabolic process",0.249172795653299,"2/127"
"GO:00090569","C10","catabolic process",0.249408241504918,"15/127"
"GO:00511876","C10","cofactor catabolic process",0.257246574070574,"3/127"
"GO:00725938","C10","reactive oxygen species metabolic process",0.257246574070574,"3/127"
"GO:00060222","C10","aminoglycan metabolic process",0.257402098616901,"1/127"
"GO:00060262","C10","aminoglycan catabolic process",0.257402098616901,"1/127"
"GO:00060302","C10","chitin metabolic process",0.257402098616901,"1/127"
"GO:00060322","C10","chitin catabolic process",0.257402098616901,"1/127"
"GO:00169982","C10","cell wall macromolecule catabolic process",0.257402098616901,"1/127"
"GO:0032535","C10","regulation of cellular component size",0.257402098616901,"1/127"
"GO:00347624","C10","regulation of transmembrane transport",0.257402098616901,"1/127"
"GO:00347654","C10","regulation of ion transmembrane transport",0.257402098616901,"1/127"
"GO:0044087","C10","regulation of cellular component biogenesis",0.257402098616901,"1/127"
"GO:00463482","C10","amino sugar catabolic process",0.257402098616901,"1/127"
"GO:0090066","C10","regulation of anatomical structure size",0.257402098616901,"1/127"
"GO:19010712","C10","glucosamine-containing compound metabolic process",0.257402098616901,"1/127"
"GO:19010722","C10","glucosamine-containing compound catabolic process",0.257402098616901,"1/127"
"GO:00160528","C10","carbohydrate catabolic process",0.264718916534924,"4/127"
"GO:00000038","C10","reproduction",0.265336687548505,"5/127"
"GO:00224148","C10","reproductive process",0.265336687548505,"5/127"
"GO:00060402","C10","amino sugar metabolic process",0.27724846508905,"1/127"
"GO:0006084","C10","acetyl-CoA metabolic process",0.27724846508905,"1/127"
"GO:0006289","C10","nucleotide-excision repair",0.27724846508905,"1/127"
"GO:00066621","C10","glycerol ether metabolic process",0.27724846508905,"1/127"
"GO:0007186","C10","G protein-coupled receptor signaling pathway",0.27724846508905,"1/127"
"GO:00189041","C10","ether metabolic process",0.27724846508905,"1/127"
"GO:0044786","C10","cell cycle DNA replication",0.27724846508905,"1/127"
"GO:0048366","C10","leaf development",0.27724846508905,"1/127"
"GO:0051258","C10","protein polymerization",0.27724846508905,"1/127"
"GO:00092252","C10","nucleotide-sugar metabolic process",0.296568491385343,"1/127"
"GO:00432694","C10","regulation of ion transport",0.296568491385343,"1/127"
"GO:19053921","C10","plant organ morphogenesis",0.296568491385343,"1/127"
"GO:00485233","C10","negative regulation of cellular process",0.301086405015364,"3/127"
"GO:00068901","C10","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",0.31537602856304,"1/127"
"GO:0007034","C10","vacuolar transport",0.31537602856304,"1/127"
"GO:00226221","C10","root system development",0.31537602856304,"1/127"
"GO:00483641","C10","root development",0.31537602856304,"1/127"
"GO:19016982","C10","response to nitrogen compound",0.31537602856304,"1/127"
"GO:00994021","C10","plant organ development",0.31887909160779,"2/127"
"GO:00160514","C10","carbohydrate biosynthetic process",0.330558614097455,"3/127"
"GO:19015759","C10","organic substance catabolic process",0.331964234963998,"12/127"
"GO:0006637","C10","acyl-CoA metabolic process",0.333684566017767,"1/127"
"GO:0008154","C10","actin polymerization or depolymerization",0.333684566017767,"1/127"
"GO:00096903","C10","cytokinin metabolic process",0.333684566017767,"1/127"
"GO:00161262","C10","sterol biosynthetic process",0.333684566017767,"1/127"
"GO:00302453","C10","cellulose catabolic process",0.333684566017767,"1/127"
"GO:00314072","C10","oxylipin metabolic process",0.333684566017767,"1/127"
"GO:00314082","C10","oxylipin biosynthetic process",0.333684566017767,"1/127"
"GO:00347543","C10","cellular hormone metabolic process",0.333684566017767,"1/127"
"GO:0035383","C10","thioester metabolic process",0.333684566017767,"1/127"
"GO:00512753","C10","beta-glucan catabolic process",0.333684566017767,"1/127"
"GO:00650089","C10","regulation of biological quality",0.337209617267345,"8/127"
"GO:19011358","C10","carbohydrate derivative metabolic process",0.345367398961285,"8/127"
"GO:00092513","C10","glucan catabolic process",0.35150724085259,"1/127"
"GO:00442473","C10","cellular polysaccharide catabolic process",0.35150724085259,"1/127"
"GO:00064649","C10","cellular protein modification process",0.360565585086786,"9/127"
"GO:00362119","C10","protein modification process",0.360565585086786,"9/127"
"GO:19016174","C10","organic hydroxy compound biosynthetic process",0.367826375351499,"2/127"
"GO:00400291","C10","regulation of gene expression, epigenetic",0.368856847006313,"1/127"
"GO:00466772","C10","response to antibiotic",0.368856847006313,"1/127"
"GO:00090663","C10","aspartate family amino acid metabolic process",0.385745844147105,"1/127"
"GO:00442753","C10","cellular carbohydrate catabolic process",0.385745844147105,"1/127"
"GO:00510494","C10","regulation of transport",0.385745844147105,"1/127"
"GO:00454903","C10","pectin catabolic process",0.387042660441233,"2/127"
"GO:00065632","C10","L-serine metabolic process",0.402186366337477,"1/127"
"GO:00068751","C10","cellular metal ion homeostasis",0.402186366337477,"1/127"
"GO:00090703","C10","serine family amino acid biosynthetic process",0.402186366337477,"1/127"
"GO:00092471","C10","glycolipid biosynthetic process",0.402186366337477,"1/127"
"GO:00510521","C10","regulation of DNA metabolic process",0.402186366337477,"1/127"
"GO:00346555","C10","nucleobase-containing compound catabolic process",0.415381033847348,"2/127"
"GO:00488696","C10","cellular developmental process",0.415381033847348,"2/127"
"GO:00197257","C10","cellular homeostasis",0.416729341069936,"4/127"
"GO:00066641","C10","glycolipid metabolic process",0.418190230476419,"1/127"
"GO:00096062","C10","tropism",0.418190230476419,"1/127"
"GO:00140703","C10","response to organic cyclic compound",0.418190230476419,"1/127"
"GO:19035091","C10","liposaccharide metabolic process",0.418190230476419,"1/127"
"GO:00550867","C10","nucleobase-containing small molecule metabolic process",0.429833352817751,"5/127"
"GO:00067905","C10","sulfur compound metabolic process",0.43257326288375,"3/127"
"GO:00300031","C10","cellular cation homeostasis",0.433768944524384,"1/127"
"GO:00513012","C10","cell division",0.433768944524384,"1/127"
"GO:00550651","C10","metal ion homeostasis",0.433768944524384,"1/127"
"GO:00338651","C10","nucleoside bisphosphate metabolic process",0.448933715516666,"1/127"
"GO:00338751","C10","ribonucleoside bisphosphate metabolic process",0.448933715516666,"1/127"
"GO:00340321","C10","purine nucleoside bisphosphate metabolic process",0.448933715516666,"1/127"
"GO:00424933","C10","response to drug",0.448933715516666,"1/127"
"GO:00464671","C10","membrane lipid biosynthetic process",0.448933715516666,"1/127"
"GO:00454547","C10","cell redox homeostasis",0.453811888707627,"3/127"
"GO:00069798","C10","response to oxidative stress",0.460820831796537,"3/127"
"GO:00000962","C10","sulfur amino acid metabolic process",0.463695457370575,"1/127"
"GO:0006081","C10","cellular aldehyde metabolic process",0.463695457370575,"1/127"
"GO:0006401","C10","RNA catabolic process",0.463695457370575,"1/127"
"GO:00328794","C10","regulation of localization",0.463695457370575,"1/127"
"GO:19016064","C10","alpha-amino acid catabolic process",0.463695457370575,"1/127"
"GO:00169998","C10","antibiotic metabolic process",0.474723826761812,"3/127"
"GO:00090578","C10","macromolecule catabolic process",0.477497430455526,"7/127"
"GO:00068731","C10","cellular ion homeostasis",0.478064798491659,"1/127"
"GO:00104111","C10","xyloglucan metabolic process",0.478064798491659,"1/127"
"GO:00066336","C10","fatty acid biosynthetic process",0.487547798217708,"2/127"
"GO:00070151","C10","actin filament organization",0.492052089184117,"1/127"
"GO:00096173","C10","response to bacterium",0.492052089184117,"1/127"
"GO:00427423","C10","defense response to bacterium",0.492052089184117,"1/127"
"GO:00467005","C10","heterocycle catabolic process",0.504721874971984,"2/127"
"GO:00066431","C10","membrane lipid metabolic process",0.505667408870402,"1/127"
"GO:00090634","C10","cellular amino acid catabolic process",0.505667408870402,"1/127"
"GO:00063104","C10","DNA recombination",0.518920573124879,"1/127"
"GO:00300291","C10","actin filament-based process",0.518920573124879,"1/127"
